trade_id,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,entry_fee,exit_fee,gross_pnl,net_pnl,return_pct,bars_held,exit_reason
1,2025-01-20,108.9776616,2025-03-22,124.64494635,91.6702546498,9.99000999,11.42623397,1436.2239827,1414.80773874,14.148077,61,signal
2,2025-07-17,89.2464009,2025-08-04,88.80067745,127.7743888763,11.40340433,11.34645229,-56.95204143,-79.70189806,-0.698233,18,signal
3,2025-08-29,87.85960785,2025-09-06,86.8203681,128.8849601737,11.32378206,11.18983968,-133.94237379,-156.45599553,-1.380278,8,signal
4,2025-09-14,88.39607595,2025-09-27,88.30952315,126.3345939598,11.16748236,11.15654775,-10.93461284,-33.25864296,-0.297519,13,signal
5,2025-10-01,90.0996273,2025-10-16,90.7390078,123.5771698386,11.13425695,11.21326978,79.01283264,56.66530592,0.508419,15,signal
6,2025-10-20,92.2911225,2025-10-27,93.15589875,121.2561440291,11.19086564,11.29572508,104.85943352,82.3728428,0.735337,7,end_of_data
